Geneid	persister_1	persister_2	persister_3	control_1	control_2	control_3
SAOUHSC_01101	26	8	17	12	6	0
SAOUHSC_01102	4720	4436	3085	6494	8127	1650
SAOUHSC_01103	8291	8490	5836	12760	12361	1376
SAOUHSC_01104	52091	52416	37311	49909	57039	20088
SAOUHSC_01105	38634	36065	27136	30234	27497	5641
SAOUHSC_01106	4042	3694	2352	6411	7930	1500
SAOUHSC_01107	3036	2589	1813	4317	4858	524
SAOUHSC_01108	3443	3178	1947	4645	5716	286
SAOUHSC_01109	0	0	2	4	2	0
SAOUHSC_01110	14982	9870	7894	21228	8985	247
SAOUHSC_01111	1	0	3	2	1	0
SAOUHSC_01112	791	472	459	586	441	14
SAOUHSC_01113	1119	694	1165	523	536	40
SAOUHSC_01114	7270	5148	4285	9158	4834	462
SAOUHSC_01115	4946	3191	3026	5891	3376	142
SAOUHSC_01118	341	221	196	119	106	45
SAOUHSC_A01079	63	43	54	24	24	5
SAOUHSC_01119	778	443	619	1075	853	57
SAOUHSC_A01081	44	34	99	285	375	65
SAOUHSC_01120	969	751	707	1808	1757	117
SAOUHSC_01121	582117	377580	420316	33087	30564	2871
SAOUHSC_01122	5	5	5	1	0	0
SAOUHSC_01123	2138	1479	1840	637	333	8
SAOUHSC_01124	761	468	673	237	325	29
SAOUHSC_01125	470	290	348	168	214	18
SAOUHSC_01127	475	354	370	246	333	27
SAOUHSC_01128	679	608	509	338	373	74
SAOUHSC_01129	1913	1400	1433	529	736	166
SAOUHSC_01130	3485	2924	2802	2553	3879	1398
SAOUHSC_01131	844	630	703	1327	1172	40
SAOUHSC_01133	316	203	302	456	665	107
SAOUHSC_01134	119	65	61	203	234	9
SAOUHSC_T0006	254	337	108	482	370	93
SAOUHSC_01135	34829	12988	28606	1286	1058	150
SAOUHSC_01136	56942	24865	44753	2273	869	719
SAOUHSC_01137	2608	1440	2342	999	1392	161
SAOUHSC_01138	4564	3420	3068	4236	5841	320
SAOUHSC_01139	3879	2618	3540	1593	1995	72
SAOUHSC_01140	50	34	28	22	26	10
SAOUHSC_01141	23395	16584	21567	7049	6438	833
SAOUHSC_01142	10171	9055	5777	34329	24012	3580
SAOUHSC_01143	11503	10155	6691	41413	39332	13633
SAOUHSC_01144	4789	3268	2905	7433	9428	969
SAOUHSC_01145	15155	11899	9973	19300	15907	4245
SAOUHSC_01146	1469	1312	1030	2297	1507	450
SAOUHSC_01147	4026	3480	2653	5940	5523	937
SAOUHSC_01148	6801	6200	5127	10225	12918	1854
SAOUHSC_01149	23248	23082	16232	53158	68878	5731
SAOUHSC_01150	42908	38278	28527	89349	102742	44096
SAOUHSC_01152	2197	1968	1507	2885	4151	349
SAOUHSC_01153	16046	14493	12981	17819	20092	1389
SAOUHSC_01154	23193	21943	18084	21455	20779	5994
SAOUHSC_01155	7030	5128	6693	6457	4992	519
SAOUHSC_01156	7401	6415	6114	5510	7488	267
SAOUHSC_01158	28630	21683	23567	20508	26933	5286
SAOUHSC_01159	5048	3788	3014	7738	11323	3069
SAOUHSC_01160	1372	1090	803	1904	2417	176
SAOUHSC_01161	7	3	5	3	7	0
SAOUHSC_01162	1389	1291	1471	1298	1866	166
SAOUHSC_01163	9083	7824	8147	6143	7434	1474
SAOUHSC_01164	2009	1203	1132	1701	1249	120
SAOUHSC_01165	1367	881	960	7207	2495	126
SAOUHSC_01166	1191	804	830	12077	5137	645
SAOUHSC_01168	2115	1608	1554	17805	7018	1202
SAOUHSC_01169	1900	1340	1310	13695	4284	315
SAOUHSC_01170	7192	4715	5806	35392	17100	4097
SAOUHSC_01171	1775	1248	1487	5122	3193	317
SAOUHSC_01172	1842	1121	1560	4141	2163	284
SAOUHSC_01173	2061	1363	1583	2522	3044	159
SAOUHSC_01174	3141	2418	2236	2670	2417	640
SAOUHSC_01175	9910	8601	6374	7070	5893	492
SAOUHSC_01176	6095	5476	4999	19201	24587	1939
SAOUHSC_01177	2474	2289	1987	5712	7059	747
SAOUHSC_01178	2918	2418	1912	2963	3408	527
SAOUHSC_01179	7193	5482	5182	6083	6715	1811
SAOUHSC_01180	971	733	762	450	453	22
SAOUHSC_01181	5900	6347	3332	13090	15607	2046
SAOUHSC_01182	2308	1916	1991	1697	2402	152
SAOUHSC_01183	6613	5687	5789	4303	6444	1203
SAOUHSC_01184	8588	6411	7145	5696	7874	1129
SAOUHSC_01185	8856	7182	7672	6645	9309	1629
SAOUHSC_01186	4606	3997	4337	3624	5781	1792
SAOUHSC_01187	29158	19608	26319	11478	14366	2640
SAOUHSC_01188	2724	2206	2055	3081	3473	374
SAOUHSC_01189	2666	2086	2055	2491	2264	221
SAOUHSC_01190	3663	2675	2938	2786	3090	499
SAOUHSC_01191	81648	77556	43636	132768	107305	33128
SAOUHSC_01192	5337	4556	3932	3273	3840	489
SAOUHSC_01193	21970	16337	15067	13807	12625	2298
SAOUHSC_01194	4701	4049	2534	7326	7038	808
SAOUHSC_01196	3027	2767	1880	10178	10277	1109
SAOUHSC_01197	5093	5433	3370	18967	19628	6627
SAOUHSC_01198	5516	5689	3705	20825	18828	3892
SAOUHSC_01199	5888	5919	3803	22206	21054	5660
SAOUHSC_01200	10	2	2	16	12	0
SAOUHSC_01201	6363	5135	3516	28962	20534	2411
SAOUHSC_01203	662	567	505	1355	1618	320
SAOUHSC_01204	4793	3949	3410	5568	6436	709
SAOUHSC_01205	2610	2133	2106	2657	3397	830
SAOUHSC_01206	830	624	762	937	1997	93
SAOUHSC_01207	11429	9309	8204	12049	14703	2223
SAOUHSC_01208	15090	9657	9235	4344	5026	1146
SAOUHSC_01209	2359	1684	1922	602	728	77
SAOUHSC_01210	5830	4345	4708	1289	1449	414
SAOUHSC_01211	119922	100140	88731	54051	17802	4317
SAOUHSC_01212	24	19	18	13	3	0
SAOUHSC_01213	3194	2459	2311	3209	3970	315
SAOUHSC_01214	2032	1689	1439	2137	2973	393
SAOUHSC_01215	2966	2261	2380	2357	3388	909
SAOUHSC_01216	34812	37989	24926	29033	36367	20305
SAOUHSC_01218	44868	44575	31180	29118	32920	18007
SAOUHSC_01219	1448	1045	1165	342	288	34
SAOUHSC_01220	1342	824	1158	370	366	23
SAOUHSC_01221	142	101	132	121	137	19
SAOUHSC_01222	18635	17021	15869	21534	33637	9499
SAOUHSC_01223	19257	15591	16562	15312	25952	8928
SAOUHSC_01224	3459	3604	2117	6887	8786	1610
SAOUHSC_01225	3984	4473	2525	6505	8095	3271
SAOUHSC_01226	10876	11449	7151	18215	21996	4094
SAOUHSC_01228	6686	6109	4203	13378	16706	1962
SAOUHSC_01230	40	37	23	59	48	14
SAOUHSC_01232	282620	245580	243349	35192	27286	3690
SAOUHSC_01233	11813	8187	12250	2071	2264	115
SAOUHSC_01234	144190	119101	115928	35086	28679	5796
SAOUHSC_01235	3572	2676	2382	2283	2315	726
SAOUHSC_01236	7251	5182	5345	4058	4022	706
SAOUHSC_01237	1686	1586	1422	2459	2942	250
SAOUHSC_01238	2181	1781	1697	2062	1914	362
SAOUHSC_01239	5781	4244	4052	6457	8336	1238
SAOUHSC_01240	14809	11209	10327	17581	19430	4381
SAOUHSC_01241	37394	26562	28337	18426	18206	4248
SAOUHSC_01242	6726	5618	5060	2651	2920	431
SAOUHSC_01243	16002	13570	11460	6831	4256	1351
SAOUHSC_01244	3318	2516	2678	1557	1439	362
SAOUHSC_01245	3719	3009	2907	1781	1855	380
SAOUHSC_01246	51330	40284	37185	29669	24920	5615
SAOUHSC_01247	8613	6940	6377	5187	6354	1321
SAOUHSC_01248	1682	1630	1201	2842	3640	982
SAOUHSC_01249	5195	4336	3114	6835	7014	914
SAOUHSC_01250	102800	66993	78282	38985	36881	3370
SAOUHSC_01251	33859	30483	26373	33382	37142	11200
SAOUHSC_01252	35626	25195	24471	26377	27618	6409
SAOUHSC_01253	11861	9367	7266	14956	14233	3736
SAOUHSC_01254	1653	1532	1043	2994	2601	927
SAOUHSC_01255	1144	826	852	615	629	63
SAOUHSC_01256	2408	1858	1761	1394	1704	341
SAOUHSC_01257	2048	1658	1420	1222	1232	599
SAOUHSC_01258	5476	4274	4300	5310	7611	1315
SAOUHSC_01259	3465	2502	2551	3100	3625	1827
SAOUHSC_01260	4841	3230	3596	3921	5343	472
SAOUHSC_01261	2443	1921	1747	3367	3526	330
SAOUHSC_01262	71039	52086	53314	46509	37201	10890
SAOUHSC_01263	121364	113820	105467	68263	67239	12532
SAOUHSC_01264	1520	1243	561	1406	972	32
SAOUHSC_01265	2229	2053	1522	5530	6070	1235
SAOUHSC_01266	8108	7594	6066	8913	12668	2450
SAOUHSC_01267	5510	4658	4223	5909	8008	2162
SAOUHSC_01268	202	185	130	580	780	46
SAOUHSC_01269	9253	6651	8188	10063	11553	1198
SAOUHSC_01270	4250	3180	3974	3386	5786	602
SAOUHSC_01271	4991	3539	4187	3566	3381	758
SAOUHSC_01272	4182	3040	2871	5007	6458	927
SAOUHSC_01273	4387	2885	3207	4569	6027	962
SAOUHSC_01274	1487	965	1336	1343	2155	222
SAOUHSC_01275	4523	3847	2549	28309	19797	11289
SAOUHSC_01276	4114	4398	2829	12895	12207	3650
SAOUHSC_01278	2326	2523	1933	63056	12955	7754
SAOUHSC_01279	405	323	235	1669	1966	217
SAOUHSC_01280	1902	1673	1309	2522	2196	277
SAOUHSC_01281	1266	1100	778	1330	657	108
SAOUHSC_01282	1821	1587	884	3285	3972	965
SAOUHSC_01283	2335	2094	1899	1866	2077	371
SAOUHSC_01284	4342	3492	3252	2455	3038	351
SAOUHSC_01285	2640	2593	1764	9092	8037	669
SAOUHSC_01287	15861	13691	11261	48085	41438	6407
SAOUHSC_01288	79	72	58	112	66	16
SAOUHSC_01289	12	2	4	10	19	1
SAOUHSC_01290	59	36	60	107	101	4
SAOUHSC_01291	15	9	11	26	69	7
SAOUHSC_01292	80	66	64	55	80	2
SAOUHSC_01293	5	4	1	8	2	0
SAOUHSC_01294	14	4	12	9	10	1
SAOUHSC_01295	114	64	100	182	263	8
SAOUHSC_01296	22	31	28	83	83	21
SAOUHSC_01297	9	4	4	78	163	8
SAOUHSC_01298	2	1	2	0	1	0
SAOUHSC_01299	9	4	3	3	2	0
SAOUHSC_01300	19	5	14	17	11	0
SAOUHSC_01301	63	42	106	284	435	16
SAOUHSC_01302	52	31	28	167	226	101
SAOUHSC_01303	39	26	43	231	265	23
SAOUHSC_01304	355	176	219	646	316	24
SAOUHSC_01305	71	42	112	295	405	37
SAOUHSC_01306	6	7	11	68	82	10
SAOUHSC_01307	1507	1073	1070	947	862	243
SAOUHSC_01309	30	16	23	5	8	0
SAOUHSC_01310	1649	1168	943	5079	6869	1106
SAOUHSC_01311	78	48	66	86	166	9
SAOUHSC_01312	86	40	98	88	232	3
SAOUHSC_01313	1026	639	990	704	1161	69
SAOUHSC_01314	1847	1106	1561	910	1357	71
SAOUHSC_01315	24	18	41	74	124	15
SAOUHSC_01316	878	569	699	441	594	78
SAOUHSC_01317	3841	2982	2368	5122	5968	315
SAOUHSC_01318	2268	1419	1356	2352	2546	125
SAOUHSC_01319	3433	2503	3185	13635	16319	1853
SAOUHSC_01320	14539	12562	13151	46032	86854	12661
SAOUHSC_01321	16898	12150	15066	41067	52656	6004
SAOUHSC_01322	11092	8627	8652	33272	43450	3173
SAOUHSC_01323	12232	8455	8821	29854	33109	3563
SAOUHSC_01324	1396	1260	989	2503	2452	158
SAOUHSC_01325	1	0	4	0	8	0
SAOUHSC_01326	6262	5272	4814	24230	33792	5353
SAOUHSC_01327	29279	25961	17127	75872	92774	23842
SAOUHSC_01328	25280	21362	15566	18777	30656	3407
SAOUHSC_01329	10108	5888	5847	891	1075	42
SAOUHSC_01330	2778	2479	2227	833	540	105
SAOUHSC_01331	8	4	3	7	11	2
SAOUHSC_01332	4009	3444	3302	2565	2935	252
SAOUHSC_01333	35370	27247	27832	29099	29996	4743
SAOUHSC_01334	19078	14108	14887	2063	2394	103
SAOUHSC_01336	4789	2943	4159	1602	2188	181
SAOUHSC_01337	94399	69501	69539	61975	66182	22951
SAOUHSC_01338	6277	5150	4947	4234	5828	306
SAOUHSC_01339	14	12	9	3	7	1
SAOUHSC_01340	2430	2008	1906	1850	1785	81
SAOUHSC_01341	2147	1463	1833	467	564	53
SAOUHSC_01342	10800	5790	9551	2358	2706	455
SAOUHSC_01343	1493	742	1248	324	260	52
SAOUHSC_01344	144	89	113	38	41	2
SAOUHSC_01346	12641	10098	11881	8066	6672	1522
SAOUHSC_01347	13513	11844	8396	18476	21459	4397
SAOUHSC_01348	4541	3221	3859	2827	3095	227
SAOUHSC_01349	1117	864	745	2219	2413	580
SAOUHSC_01350	2931	2067	1970	8550	6720	1550
SAOUHSC_01351	13489	11404	11230	9685	11975	3587
SAOUHSC_01352	24505	18978	21998	15089	16866	2647
SAOUHSC_01353	19	13	14	7	2	0
SAOUHSC_01354	11984	10128	9775	14702	14167	6713
SAOUHSC_01356	1045	800	576	3749	4028	212
SAOUHSC_01357	138	84	94	564	785	13
SAOUHSC_01358	7391	5383	3975	14804	18935	892
SAOUHSC_01359	10081	8726	7398	30436	38551	1358
SAOUHSC_01360	4623	3404	3331	5668	8513	1045
SAOUHSC_01361	12313	9712	11792	5180	5197	1230
SAOUHSC_01362	1058	807	654	2816	3907	1108
SAOUHSC_01363	37585	26621	27670	2862	1690	157
SAOUHSC_01364	686	665	364	4451	5791	701
SAOUHSC_01365	73080	45312	60607	4867	4914	507
SAOUHSC_01366	378	332	165	362	613	67
SAOUHSC_01367	150	176	70	193	297	149
SAOUHSC_01368	230	270	142	458	701	166
SAOUHSC_01369	177	220	89	423	919	73
SAOUHSC_01370	127	149	76	321	746	105
SAOUHSC_01371	375	337	217	779	1514	491
SAOUHSC_01372	940	659	597	980	1797	497
SAOUHSC_01373	7165	5455	3657	13641	13862	1212
SAOUHSC_01374	11715	9001	6128	18511	19896	3007
SAOUHSC_01375	1173	850	842	1517	1984	179
SAOUHSC_01376	2371	1762	1573	1956	2806	379
SAOUHSC_01377	1982	1408	1501	1248	1299	131
SAOUHSC_01378	1143	789	914	602	858	124
SAOUHSC_01379	968	624	635	539	608	102
SAOUHSC_01380	939	722	668	770	936	52
SAOUHSC_01381	41	17	6	24	6	3
SAOUHSC_01382	36	10	26	52	84	11
SAOUHSC_01383	3988	2603	2013	2567	2830	471
SAOUHSC_01384	904	541	628	434	435	26
SAOUHSC_01385	474	337	309	248	305	41
SAOUHSC_01386	291	232	259	183	129	56
SAOUHSC_01387	152	112	136	60	66	14
SAOUHSC_01388	25	10	11	8	2	1
SAOUHSC_01389	194	111	158	53	51	18
SAOUHSC_A01332	121	79	59	61	142	171
SAOUHSC_01390	31	16	15	23	47	23
SAOUHSC_01391	11289	8085	8793	6907	5972	1275
SAOUHSC_01392	11721	9035	11828	8607	10857	1242
SAOUHSC_01394	13029	9592	13049	112017	195352	30747
SAOUHSC_01395	12856	9122	13645	76753	175871	17964
SAOUHSC_01396	10693	7552	10788	48852	112768	10230
SAOUHSC_01397	10945	8059	11013	41002	88512	6516
SAOUHSC_01398	11435	7981	11196	37085	67257	16507
SAOUHSC_01399	2075	1510	1656	22877	38664	3855
SAOUHSC_01400	2862	1911	2344	20141	34103	2498
SAOUHSC_01401	7907	5262	6617	25104	45950	3800
SAOUHSC_01402	20	19	17	43	46	18
SAOUHSC_01403	14666	12736	8525	40471	35380	9510
SAOUHSC_01404	10	7	6	10	4	0
SAOUHSC_01405	1692	936	703	3261	3980	396
SAOUHSC_01406	1851	1461	847	2532	3744	362
SAOUHSC_01407	5573	4095	2836	7779	8129	578
SAOUHSC_01408	12324	9407	6073	14389	16271	1241
SAOUHSC_01409	4	4	0	0	0	1
SAOUHSC_01410	157	119	120	19	15	4
SAOUHSC_01411	6767	4115	5304	2021	2060	173
SAOUHSC_01412	4569	3743	2783	4870	5635	1283
SAOUHSC_01413	2016	1783	1255	2555	3632	295
SAOUHSC_01414	6010	3636	3949	3870	2105	233
SAOUHSC_01415	12194	8719	7107	8285	6037	1692
SAOUHSC_01416	42404	40953	28165	18090	23119	4102
SAOUHSC_01418	63147	63307	40331	41789	46980	7103
SAOUHSC_01419	11730	9467	8540	13809	16350	2020
SAOUHSC_01420	5610	4909	3645	11696	12873	1672
SAOUHSC_01421	22	12	23	68	96	3
SAOUHSC_01422	27	29	14	64	102	12
SAOUHSC_01423	2630	2345	2037	4566	5172	752
SAOUHSC_01424	2691	2765	2156	5471	8921	943
SAOUHSC_01425	833	879	645	1862	2419	866
SAOUHSC_01427	3556	2472	2467	6510	8297	906
SAOUHSC_01428	36	35	29	1	2	0
SAOUHSC_01429	5180	5074	2595	11144	8730	4403
SAOUHSC_01430	8677	7937	4227	18759	17694	5256
SAOUHSC_01431	4421	3543	2448	9888	11611	1370
SAOUHSC_01432	8094	7854	4004	20264	28653	8939
SAOUHSC_01433	2177	2038	1289	8810	10773	1739
SAOUHSC_01434	1721	1546	958	5871	9580	620
SAOUHSC_01435	1754	1643	1081	4756	5357	1063
SAOUHSC_01436	2797	1991	2094	2026	2159	495
SAOUHSC_01437	6531	5094	4753	6568	7206	1178
SAOUHSC_01438	1282	842	864	1680	1972	201
SAOUHSC_01439	780	563	649	1224	1764	57
SAOUHSC_01440	4528	3295	4744	1047	1228	48
SAOUHSC_01441	21	7	14	25	15	25
SAOUHSC_01442	13	8	7	1	0	0
SAOUHSC_01443	91	54	38	112	178	27
SAOUHSC_01447	80462	58052	65930	11713	12279	2276
SAOUHSC_01448	1091	718	788	1473	1162	231
SAOUHSC_01450	1195	642	848	1662	2020	345
SAOUHSC_01451	729	384	432	1261	1411	421
SAOUHSC_01452	393	223	237	637	563	262
SAOUHSC_01454	2191	1763	1459	4621	5969	1069
SAOUHSC_01455	6118	4904	4218	12939	16107	946
SAOUHSC_01456	1328	1269	951	609	710	119
SAOUHSC_01458	20	17	18	19	32	5
SAOUHSC_01459	812	673	629	735	834	82
SAOUHSC_01460	1798	1893	1368	1723	1269	187
SAOUHSC_01462	11907	11808	8833	15354	19562	1505
SAOUHSC_01463	10023	10969	6878	14894	17883	1875
SAOUHSC_01464	4475	4121	2678	5549	6637	283
SAOUHSC_01465	2	2	2	0	0	5
SAOUHSC_01466	33001	31976	28117	16378	11003	1824
SAOUHSC_01467	210389	201466	182942	111411	79889	19652
SAOUHSC_01468	2740	2132	1972	1923	1877	114
SAOUHSC_01469	5494	4643	3407	3474	2802	293
SAOUHSC_01470	4058	3475	2554	3222	3307	255
SAOUHSC_01471	8451	6547	5781	13716	12387	2988
SAOUHSC_01472	6867	4232	4218	5948	5901	735
SAOUHSC_01473	1502	1131	887	2223	2644	225
SAOUHSC_01474	2150	1400	1242	2472	2299	350
SAOUHSC_01475	2840	1864	1515	3118	2648	492
SAOUHSC_01476	668	476	324	870	1006	86
SAOUHSC_01477	47015	45535	22405	98887	83219	19527
SAOUHSC_01478	928	859	728	2038	2533	186
SAOUHSC_01479	1755	1471	1300	2565	3069	318
SAOUHSC_01480	5500	4811	4035	7268	8167	842
SAOUHSC_01481	2900	2498	1923	5610	7330	989
SAOUHSC_01482	857	785	657	2640	3153	427
SAOUHSC_01483	906	827	594	3877	4618	809
SAOUHSC_01484	14	7	18	17	24	3
SAOUHSC_01485	3286	2863	2064	6553	5858	695
SAOUHSC_01486	2479	2339	1497	4225	4618	498
SAOUHSC_01487	1755	1573	1003	3416	4106	927
SAOUHSC_01488	638	599	416	2105	2545	377
SAOUHSC_01489	41	18	17	9	7	0
SAOUHSC_01490	29156	23951	15176	121926	110699	62697
SAOUHSC_01491	8026	5906	6213	13897	17187	3477
SAOUHSC_01492	7228	5674	4844	14961	17648	3352
SAOUHSC_01493	25836	21283	12614	45615	40479	9288
SAOUHSC_A01436	9	1	3	3	2	0
SAOUHSC_01494	0	1	1	0	0	0
SAOUHSC_01495	164	113	117	225	107	41
SAOUHSC_01496	2317	1822	1615	3483	4457	900
SAOUHSC_01497	1503	1006	1162	1107	1139	207
SAOUHSC_01499	3423	3474	2316	3420	2294	450
SAOUHSC_01500	9	8	13	27	53	6
SAOUHSC_01501	18302	17198	10384	49027	58935	19740
SAOUHSC_01502	2149	1831	1348	4333	4820	843
SAOUHSC_01503	846	640	640	1512	1504	102
SAOUHSC_01504	22528	17590	18334	6312	4820	1370
SAOUHSC_01505	11276	8521	6695	6546	4120	1152
SAOUHSC_01507	209	98	156	141	160	19
SAOUHSC_01508	2116	1253	1568	907	980	88
SAOUHSC_01510	216	158	191	87	131	7
SAOUHSC_01511	604	431	476	311	373	46
SAOUHSC_01512	831	653	722	496	669	75
SAOUHSC_01513	1095	749	744	416	279	40
SAOUHSC_01514	0	0	0	0	0	0
SAOUHSC_A01455	0	0	0	0	0	0
SAOUHSC_01515	0	0	0	0	0	0
SAOUHSC_01516	0	0	0	0	0	0
SAOUHSC_01517	0	0	0	0	0	0
SAOUHSC_01518	0	0	0	0	0	0
SAOUHSC_01519	0	0	0	0	0	0
SAOUHSC_01520	0	0	0	0	0	0
SAOUHSC_01521	0	0	0	0	0	0
SAOUHSC_01522	0	0	0	0	0	0
SAOUHSC_01523	0	0	0	0	0	0
SAOUHSC_01524	0	0	0	0	0	0
SAOUHSC_01525	0	0	0	0	0	0
SAOUHSC_01526	0	0	0	0	0	0
SAOUHSC_01527	0	0	0	0	0	0
SAOUHSC_01528	0	0	0	0	0	0
SAOUHSC_01529	0	0	0	0	0	0
SAOUHSC_01530	0	0	0	0	0	0
SAOUHSC_01531	0	0	0	0	0	0
SAOUHSC_01532	0	0	0	0	0	0
SAOUHSC_01533	0	0	0	0	0	0
SAOUHSC_01535	0	0	0	0	0	0
SAOUHSC_01536	0	0	0	0	0	0
SAOUHSC_01537	0	0	0	0	0	0
SAOUHSC_01538	0	0	0	0	0	0
SAOUHSC_01539	0	0	0	0	0	0
SAOUHSC_01540	0	0	0	0	0	0
SAOUHSC_01541	0	0	0	0	0	0
SAOUHSC_01542	0	0	0	0	0	0
SAOUHSC_01543	0	0	0	0	0	0
SAOUHSC_01544	0	0	0	0	0	0
SAOUHSC_01545	0	0	0	0	0	0
SAOUHSC_01546	0	0	0	0	0	0
SAOUHSC_01547	0	0	0	0	0	0
SAOUHSC_01548	0	0	0	0	0	0
SAOUHSC_01549	0	0	0	0	0	0
SAOUHSC_01550	0	0	0	0	0	0
SAOUHSC_01551	0	0	0	0	0	0
SAOUHSC_01552	0	0	0	0	0	0
SAOUHSC_01553	0	0	0	0	0	0
SAOUHSC_01554	0	0	0	0	0	0
SAOUHSC_01555	0	0	0	0	0	0
SAOUHSC_01556	0	0	0	0	0	0
SAOUHSC_01557	0	0	0	0	0	0
SAOUHSC_01558	0	0	0	0	0	0
SAOUHSC_01559	0	0	0	0	0	0
SAOUHSC_01560	0	0	0	0	0	0
SAOUHSC_01561	0	0	0	0	0	0
SAOUHSC_01562	0	0	0	0	0	0
SAOUHSC_01563	0	0	0	0	0	0
SAOUHSC_01565	0	0	0	0	0	0
SAOUHSC_01566	0	0	0	0	0	0
SAOUHSC_01567	0	0	0	0	0	0
SAOUHSC_01568	0	0	0	0	0	0
SAOUHSC_01569	0	0	0	0	0	0
SAOUHSC_01570	0	0	0	0	0	0
SAOUHSC_01571	0	0	0	0	0	0
SAOUHSC_01572	0	0	0	0	0	0
SAOUHSC_01573	0	0	0	0	0	0
SAOUHSC_01574	0	0	0	0	0	0
SAOUHSC_A01514	0	0	0	0	0	0
SAOUHSC_01575	0	0	0	0	0	0
SAOUHSC_01576	0	0	0	0	0	0
SAOUHSC_01577	0	0	0	0	0	0
SAOUHSC_01578	0	0	0	0	0	0
SAOUHSC_01579	0	0	0	0	0	0
SAOUHSC_01580	0	0	0	0	0	0
SAOUHSC_01582	0	0	0	0	0	0
SAOUHSC_01583	4850	3338	4653	2013	2269	341
SAOUHSC_01584	1441	1054	1197	700	928	149
SAOUHSC_01585	9905	7647	8200	9174	12468	1768
SAOUHSC_01586	6642	5485	5079	7405	7577	1423
SAOUHSC_01587	3967	3108	3287	3169	3778	663
SAOUHSC_01588	1440	1060	1096	1079	1238	217
SAOUHSC_01589	2640	1910	2094	2948	2692	265
SAOUHSC_01590	338	199	182	536	969	87
SAOUHSC_01591	7763	7142	6080	2781	3388	272
SAOUHSC_01592	7297	5676	5095	3812	3482	348
SAOUHSC_01593	352	314	261	783	977	88
SAOUHSC_01594	1754	1530	1395	4015	5017	637
SAOUHSC_01595	112	92	73	185	258	85
SAOUHSC_01596	368	242	223	853	879	87
SAOUHSC_01597	3559	2638	2736	4146	4911	670
SAOUHSC_01598	1477	947	945	2780	2707	492
SAOUHSC_01599	22265	17415	12089	37934	40245	3750
SAOUHSC_01600	10374	9136	7257	11776	10398	826
SAOUHSC_01601	6368	4837	4172	1251	1765	532
SAOUHSC_01602	1171	952	727	610	737	99
SAOUHSC_01603	5	3	8	0	2	0
SAOUHSC_01604	2545	2399	1291	6473	7913	1748
SAOUHSC_01605	19273	15868	11732	27867	26345	4818
SAOUHSC_01606	3337	2824	1908	3435	4049	753
SAOUHSC_01607	28	24	21	68	87	19
SAOUHSC_01608	6	6	11	94	59	3
SAOUHSC_01609	2421	1788	1780	2810	3680	406
SAOUHSC_01610	1268	938	755	1617	1963	550
SAOUHSC_01611	23018	14401	16534	9332	9135	1605
SAOUHSC_01612	13671	9060	9521	5801	6035	1307
SAOUHSC_01613	13245	8219	9258	5431	5259	1803
SAOUHSC_01614	12593	8730	9035	4965	5329	1047
SAOUHSC_01615	8377	5083	5277	5129	6647	924
SAOUHSC_01617	1291	709	657	1492	1633	61
SAOUHSC_01618	5465	4400	3976	5262	7383	1624
SAOUHSC_01619	787	665	557	1034	927	73
SAOUHSC_01620	5985	5035	4213	8634	9105	1070
SAOUHSC_01621	3728	3210	2752	5487	6629	474
SAOUHSC_01622	2314	1853	1638	3567	4303	983
SAOUHSC_01623	6813	5963	4912	9568	10711	2874
SAOUHSC_01624	2804	2612	1992	4051	4521	1262
SAOUHSC_01625	9762	8028	6740	17571	14971	2533
SAOUHSC_01626	2526	1907	1505	6151	10128	1446
SAOUHSC_01627	2115	1266	1491	3057	3180	123
SAOUHSC_01628	555	324	394	682	657	51
SAOUHSC_01629	4024	2609	2825	4037	4374	1356
SAOUHSC_01630	2873	1991	1650	4328	4087	544
SAOUHSC_01632	4233	3598	2640	6659	7595	2744
SAOUHSC_01633	2761	2665	1872	4769	5736	839
SAOUHSC_01634	1404	1136	868	2450	3212	359
SAOUHSC_01635	1800	1738	985	3509	3881	261
SAOUHSC_01636	1	2	0	0	3	2
SAOUHSC_01637	54	35	48	51	87	4
SAOUHSC_01638	75	56	41	57	61	2
SAOUHSC_01639	43	33	30	37	27	1
SAOUHSC_01640	42	22	35	27	38	4
SAOUHSC_01641	104	80	102	64	37	3
SAOUHSC_01643	227	141	151	94	80	7
SAOUHSC_01644	3935	3050	2885	6834	7114	913
SAOUHSC_01645	1215	1175	1041	2350	3150	323
SAOUHSC_01646	2990	2596	2259	5714	6015	2771
SAOUHSC_01647	174	175	192	486	668	62
SAOUHSC_01648	776	727	633	2009	2678	682
SAOUHSC_01649	915	810	784	2729	3287	278
SAOUHSC_01650	464	376	351	1609	2477	219
SAOUHSC_01651	6277	4130	3865	7309	5073	326
SAOUHSC_01652	6127	5563	3955	10698	10815	1652
SAOUHSC_01653	27338	26666	16553	52529	69234	9866
SAOUHSC_01655	2521	1882	1662	698	901	34
SAOUHSC_01656	5314	3980	3324	1605	1856	91
SAOUHSC_01657	5101	3671	3256	1549	1926	89
SAOUHSC_01658	14596	11827	12695	8353	10923	2166
SAOUHSC_01659	13767	11678	11975	9015	11673	1620
SAOUHSC_01660	9139	8342	6270	6968	7775	1321
SAOUHSC_01661	5152	4226	3737	3563	3998	419
SAOUHSC_01662	36556	27377	22968	22551	17460	3633
