Geneid	persister_1	persister_2	persister_3	control_1	control_2	control_3
SAOUHSC_00214	87	46	47	22	21	3
SAOUHSC_00215	59	45	49	21	23	2
SAOUHSC_00216	390	244	234	164	160	24
SAOUHSC_00217	529	316	307	243	263	74
SAOUHSC_00218	30	19	17	15	12	6
SAOUHSC_00219	988	549	535	439	467	176
SAOUHSC_00220	893	889	494	2488	3811	1235
SAOUHSC_00221	1419	1276	843	3474	4411	530
SAOUHSC_A00219	40	10	22	6	3	0
SAOUHSC_00222	2782	2160	1829	4935	6922	1166
SAOUHSC_00223	2045	1691	1140	1672	2620	347
SAOUHSC_00225	2867	2311	1911	3040	3288	521
SAOUHSC_00226	6519	5013	4757	6412	9212	1304
SAOUHSC_00227	14986	11329	11809	12787	20248	2366
SAOUHSC_00228	33042	26016	27074	21428	32461	6675
SAOUHSC_00229	708	487	480	1601	3801	503
SAOUHSC_00230	992	840	662	5245	7405	1083
SAOUHSC_00231	210	130	117	553	975	70
SAOUHSC_00232	126	194	119	339	2320	177
SAOUHSC_00233	855	975	531	1055	4927	1696
SAOUHSC_00234	1348	1042	913	790	994	64
SAOUHSC_00235	634	367	354	122	244	17
SAOUHSC_00236	1027	735	651	209	322	102
SAOUHSC_00237	169	117	86	134	181	18
SAOUHSC_00238	38	15	28	12	14	2
SAOUHSC_00239	2470	2223	1237	1819	3587	941
SAOUHSC_00240	976	913	541	708	1676	129
SAOUHSC_00241	1986	1780	999	1413	1744	848
SAOUHSC_00242	889	811	589	1757	2152	554
SAOUHSC_00243	217	70	152	65	43	0
SAOUHSC_00244	946	555	867	310	409	16
SAOUHSC_00245	92	75	49	72	79	22
SAOUHSC_00246	2559	2206	1387	1543	1257	137
SAOUHSC_00247	801	602	520	481	745	122
SAOUHSC_00248	1714	1531	1231	1142	1644	747
SAOUHSC_00249	473	293	316	271	312	24
SAOUHSC_00250	374	223	274	223	288	14
SAOUHSC_00251	139	85	99	123	122	7
SAOUHSC_00253	1877	1071	1498	645	663	32
SAOUHSC_00254	86	60	71	79	57	3
SAOUHSC_00255	458	239	332	178	196	22
SAOUHSC_00256	1749	1258	1293	976	1199	412
SAOUHSC_00257	4044	3753	2590	2299	2992	1722
SAOUHSC_00258	3565	2724	2586	1000	1065	83
SAOUHSC_00259	641	370	504	132	113	7
SAOUHSC_00260	12	12	11	6	7	0
SAOUHSC_00261	213	115	135	101	124	5
SAOUHSC_00262	1386	835	922	716	727	116
SAOUHSC_00264	104	57	71	68	79	11
SAOUHSC_00265	128	82	66	88	68	55
SAOUHSC_00266	206	110	133	104	131	16
SAOUHSC_00267	91	65	61	60	70	21
SAOUHSC_00268	2168	1656	1502	2878	4226	1448
SAOUHSC_00269	1385	933	996	3375	5168	503
SAOUHSC_00270	174	109	133	294	452	50
SAOUHSC_00271	126	67	54	208	353	29
SAOUHSC_00272	1332	607	876	472	272	21
SAOUHSC_00274	65	38	37	66	72	12
SAOUHSC_00275	145	116	105	173	328	25
SAOUHSC_00276	131	112	102	155	335	24
SAOUHSC_00277	114	98	78	139	293	40
SAOUHSC_00278	150	60	76	131	194	24
SAOUHSC_00279	1926	1266	1620	606	772	52
SAOUHSC_00280	2646	1569	2078	882	1029	199
SAOUHSC_00281	661	508	506	2540	5209	925
SAOUHSC_00282	9524	6250	4085	12459	13473	1710
SAOUHSC_00284	551	303	353	342	421	41
SAOUHSC_A00283	15	6	6	5	1	0
SAOUHSC_00285	3841	4636	3083	7482	10580	1280
SAOUHSC_00287	3843	4050	2841	6997	10358	2826
SAOUHSC_00289	11	11	8	2	1	0
SAOUHSC_00290	4398	3303	3358	4010	6278	1206
SAOUHSC_00291	218	179	108	427	1067	100
SAOUHSC_00292	401	317	249	541	1270	231
SAOUHSC_00293	897	544	495	749	1207	150
SAOUHSC_00294	3642	3753	2413	1731	1196	206
SAOUHSC_00295	1839	2314	1336	1538	1113	192
SAOUHSC_00296	1155	1062	837	1041	1773	517
SAOUHSC_00297	1295	952	678	2292	3415	682
SAOUHSC_00298	2638	2282	1774	1039	1240	276
SAOUHSC_00299	469	302	286	423	859	59
SAOUHSC_00300	71576	61907	51283	44260	60167	23475
SAOUHSC_00301	1376	912	887	1490	1783	307
SAOUHSC_00302	877	508	601	1086	1462	272
SAOUHSC_00303	45	24	31	38	68	5
SAOUHSC_00304	463	309	229	424	538	110
SAOUHSC_00305	185	141	110	140	230	37
SAOUHSC_00306	465	354	254	362	405	76
SAOUHSC_00307	584	400	284	387	533	135
SAOUHSC_00308	758	504	429	447	747	170
SAOUHSC_00309	3326	3242	2075	8270	8932	3309
SAOUHSC_00310	2257	2807	1571	2075	1471	320
SAOUHSC_00311	316	499	254	425	266	108
SAOUHSC_00312	566	833	378	736	404	87
SAOUHSC_00313	1935	2976	1478	5669	2324	521
SAOUHSC_00314	10068	8069	5896	4275	5001	513
SAOUHSC_00315	5411	4438	3108	580	575	45
SAOUHSC_00316	2112	1510	1375	350	401	29
SAOUHSC_00317	4184	3142	2641	4055	9079	1856
SAOUHSC_00318	840	844	750	1308	2476	585
SAOUHSC_00319	2489	1981	2042	2490	4356	1457
SAOUHSC_00320	1649	1237	1205	1265	2022	308
SAOUHSC_00322	307	227	182	691	596	114
SAOUHSC_00323	114	66	81	66	70	48
SAOUHSC_00324	557	421	340	2937	7529	1211
SAOUHSC_00325	284	154	167	234	584	29
SAOUHSC_00326	646	448	463	319	730	225
SAOUHSC_00327	1341	767	944	489	820	116
SAOUHSC_00328	1479	1224	924	2772	5741	876
SAOUHSC_00329	720	556	374	1390	3468	488
SAOUHSC_00330	890	558	436	2082	5108	222
SAOUHSC_00331	181	138	166	77	155	16
SAOUHSC_00332	1249	865	1066	560	726	74
SAOUHSC_00333	2686	1789	2261	988	1370	216
SAOUHSC_00334	3743	2291	2896	2187	2622	265
SAOUHSC_00335	780	480	545	1840	2485	99
SAOUHSC_A00332	33	18	13	5	3	0
SAOUHSC_00336	7669	7256	5503	11142	10399	3724
SAOUHSC_00337	5957	3470	3543	2401	3278	945
SAOUHSC_00338	10508	6208	6663	4355	8022	890
SAOUHSC_00339	4435	2785	2900	2679	5263	783
SAOUHSC_00340	1890	1373	1195	1668	3307	651
SAOUHSC_00341	1536	1263	1132	2175	4164	464
SAOUHSC_00342	443	316	292	1133	1537	270
SAOUHSC_00344	1924	1670	1840	1468	2324	463
SAOUHSC_00345	675	664	682	575	1176	61
SAOUHSC_00346	5079	4501	4688	4356	6512	1231
SAOUHSC_00347	41366	22137	29812	1564	833	27
SAOUHSC_00348	48023	43872	43206	24306	30639	5371
SAOUHSC_00349	80929	73985	76661	38866	47689	20400
SAOUHSC_00350	39057	35712	37219	18292	23072	11696
SAOUHSC_00351	242	174	212	379	728	43
SAOUHSC_00352	114	85	86	139	305	67
SAOUHSC_00353	83	83	79	117	239	23
SAOUHSC_00354	1052	605	724	998	1608	112
SAOUHSC_00355	169	117	141	98	258	10
SAOUHSC_00356	16014	16575	12232	58995	72458	14364
SAOUHSC_00357	3077	2050	1758	3493	6016	304
SAOUHSC_00358	27003	28584	14523	107762	124449	77148
SAOUHSC_A00354	45	28	43	10	10	1
SAOUHSC_00359	845	612	672	332	525	54
SAOUHSC_00360	485	431	357	939	1355	156
SAOUHSC_00362	2154	1385	1652	1865	2601	244
SAOUHSC_00363	149	105	96	433	455	10
SAOUHSC_00364	88621	77236	60473	32174	55477	10159
SAOUHSC_00365	32928	29386	23412	15609	29040	4196
SAOUHSC_00366	5781	5210	5223	4730	5085	1758
SAOUHSC_00367	16733	11307	14536	1534	1465	647
SAOUHSC_00368	84	57	51	39	46	6
SAOUHSC_00369	12305	8449	9534	9103	11174	3972
SAOUHSC_00370	4119	3987	2768	9054	14572	1332
SAOUHSC_00371	11127	10619	5995	22616	22015	2818
SAOUHSC_00372	1216	550	978	1593	2093	320
SAOUHSC_00373	4016	2384	3149	4251	5990	1459
SAOUHSC_00374	10650	7285	8698	15751	28177	8804
SAOUHSC_00375	16414	10585	12508	23266	34490	10865
SAOUHSC_00376	715	545	592	352	489	29
SAOUHSC_00377	172	127	153	118	127	7
SAOUHSC_00378	64	37	68	17	26	1
SAOUHSC_00380	100	58	105	147	204	17
SAOUHSC_00381	387	277	257	256	355	27
SAOUHSC_00382	852	657	550	577	788	101
SAOUHSC_00383	1723	1457	1323	783	1153	109
SAOUHSC_00384	541	361	321	241	301	46
SAOUHSC_00386	579	375	492	176	236	45
SAOUHSC_00387	2	4	1	1	1	0
SAOUHSC_00389	186	126	120	122	145	24
SAOUHSC_00390	411	201	251	157	157	4
SAOUHSC_A00379	34	21	37	11	5	0
